iter	Passed	Remaining
0	148	148210
1	149	74789
2	151	50261
3	152	37967
4	153	30611
5	155	25689
6	156	22182
7	158	19598
8	159	17542
9	161	15956
10	163	14666
11	164	13564
12	166	12634
13	168	11844
14	169	11157
15	171	10553
16	173	10056
17	175	9588
18	177	9188
19	179	8798
20	181	8448
21	182	8120
22	184	7834
23	185	7563
24	187	7321
25	189	7089
26	190	6868
27	192	6674
28	193	6487
29	195	6311
30	196	6153
31	198	5997
32	199	5855
33	201	5722
34	202	5592
35	204	5472
36	205	5359
37	207	5256
38	209	5153
39	210	5052
40	211	4956
41	213	4870
42	214	4780
43	216	4696
44	217	4617
45	218	4539
46	220	4464
47	221	4394
48	222	4326
49	224	4263
50	225	4201
51	227	4152
52	229	4097
53	230	4041
54	232	3987
55	233	3936
56	234	3886
57	236	3836
58	237	3790
59	239	3745
60	240	3704
61	242	3664
62	243	3622
63	244	3582
64	246	3543
65	247	3507
66	249	3472
67	250	3429
68	251	3394
69	253	3363
70	254	3330
71	255	3297
72	257	3267
73	258	3236
74	260	3207
75	261	3180
76	262	3152
77	264	3124
78	265	3100
79	267	3075
80	268	3051
81	270	3025
82	271	3002
83	273	2978
84	274	2951
85	275	2928
86	276	2901
87	277	2878
88	279	2856
89	280	2839
90	282	2818
91	283	2801
92	285	2784
93	286	2765
94	288	2746
95	289	2726
96	290	2708
97	292	2689
98	293	2672
99	295	2655
100	296	2638
101	297	2616
102	298	2600
103	300	2586
104	301	2569
105	302	2554
106	304	2540
107	305	2524
108	307	2510
109	308	2497
110	310	2483
111	311	2468
112	312	2454
113	314	2442
114	315	2429
115	316	2414
116	318	2400
117	319	2388
118	320	2374
119	321	2360
120	323	2348
121	324	2336
122	325	2320
123	326	2308
124	328	2297
125	329	2286
126	330	2275
127	331	2260
128	333	2254
129	335	2245
130	337	2235
131	338	2225
132	339	2214
133	341	2205
134	342	2195
135	343	2184
136	345	2174
137	346	2164
138	347	2154
139	349	2146
140	350	2137
141	352	2127
142	353	2118
143	354	2109
144	356	2101
145	357	2093
146	359	2086
147	361	2078
148	362	2070
149	363	2062
150	365	2053
151	366	2045
152	368	2037
153	369	2029
154	370	2021
155	371	2012
156	373	2006
157	375	1999
158	376	1992
159	378	1984
160	379	1976
161	380	1969
162	382	1962
163	383	1957
164	385	1949
165	386	1942
166	387	1935
167	389	1927
168	390	1921
169	392	1915
170	394	1910
171	395	1904
172	396	1897
173	398	1892
174	399	1885
175	401	1879
176	402	1872
177	404	1866
178	405	1859
179	406	1853
180	407	1844
181	409	1838
182	410	1831
183	411	1825
184	413	1819
185	414	1813
186	415	1807
187	417	1801
188	418	1795
189	419	1788
190	421	1784
191	422	1778
192	423	1772
193	425	1766
194	426	1761
195	428	1756
196	429	1750
197	430	1744
198	431	1738
199	433	1733
200	434	1728
201	436	1722
202	437	1717
203	438	1711
204	440	1706
205	441	1702
206	443	1697
207	444	1691
208	445	1686
209	447	1684
210	449	1679
211	450	1674
212	451	1669
213	453	1664
214	454	1659
215	455	1654
216	457	1649
217	458	1644
218	460	1640
219	461	1636
220	463	1632
221	464	1627
222	465	1623
223	467	1618
224	468	1613
225	469	1609
226	471	1605
227	472	1600
228	474	1596
229	475	1591
230	476	1587
231	478	1582
232	479	1578
233	480	1573
234	481	1568
235	483	1564
236	484	1560
237	485	1555
238	487	1552
239	488	1547
240	490	1543
241	491	1540
242	493	1535
243	494	1531
244	495	1527
245	496	1522
246	498	1518
247	499	1514
248	501	1511
249	502	1507
250	503	1503
251	505	1499
252	506	1496
253	508	1492
254	509	1489
255	510	1485
256	512	1482
257	514	1479
258	515	1475
259	517	1472
260	518	1467
261	519	1463
262	521	1460
263	522	1456
264	523	1452
265	524	1448
266	526	1445
267	527	1441
268	528	1436
269	530	1433
270	531	1429
271	532	1425
272	534	1422
273	535	1418
274	536	1415
275	538	1411
276	539	1408
277	541	1405
278	542	1402
279	544	1399
280	545	1395
281	546	1392
282	548	1389
283	549	1386
284	551	1382
285	552	1380
286	554	1377
287	555	1374
288	556	1370
289	558	1366
290	559	1363
291	560	1359
292	562	1356
293	563	1353
294	564	1349
295	566	1347
296	567	1344
297	569	1340
298	570	1337
299	571	1334
300	573	1330
301	574	1327
302	575	1324
303	577	1321
304	578	1318
305	579	1315
306	581	1311
307	582	1308
308	583	1305
309	585	1302
310	586	1299
311	587	1295
312	589	1292
313	590	1289
314	591	1286
315	593	1284
316	594	1281
317	596	1278
318	597	1275
319	599	1273
320	600	1270
321	602	1267
322	603	1264
323	604	1262
324	607	1261
325	608	1258
326	609	1255
327	611	1252
328	612	1249
329	613	1246
330	615	1243
331	616	1240
332	617	1237
333	619	1234
334	620	1231
335	621	1228
336	623	1225
337	624	1222
338	625	1220
339	627	1217
340	628	1215
341	630	1212
342	631	1210
343	633	1208
344	635	1206
345	636	1203
346	638	1200
347	639	1197
348	640	1195
349	642	1192
350	643	1189
351	644	1186
352	645	1184
353	647	1181
354	648	1178
355	650	1175
356	651	1173
357	652	1170
358	654	1167
359	655	1165
360	656	1162
361	658	1159
362	659	1157
363	661	1154
364	662	1152
365	663	1149
366	665	1147
367	666	1144
368	667	1141
369	669	1139
370	670	1136
371	671	1134
372	673	1131
373	674	1129
374	676	1126
375	677	1124
376	678	1121
377	680	1119
378	681	1116
379	682	1114
380	683	1111
381	685	1108
382	687	1106
383	688	1104
384	690	1102
385	691	1100
386	692	1097
387	694	1094
388	695	1092
389	697	1090
390	698	1088
391	700	1085
392	701	1083
393	703	1081
394	704	1078
395	705	1076
396	706	1073
397	708	1071
398	709	1068
399	710	1066
400	712	1063
401	713	1061
402	714	1059
403	716	1056
404	717	1054
405	718	1051
406	720	1049
407	721	1047
408	723	1045
409	724	1042
410	725	1039
411	726	1037
412	728	1035
413	729	1033
414	731	1030
415	732	1028
416	733	1026
417	735	1023
418	736	1021
419	737	1019
420	739	1016
421	740	1014
422	742	1012
423	743	1009
424	744	1007
425	746	1005
426	747	1003
427	748	1000
428	750	998
429	751	996
430	752	993
431	754	991
432	755	989
433	756	987
434	758	985
435	759	983
436	761	980
437	762	978
438	763	976
439	765	974
440	766	972
441	768	970
442	769	968
443	771	965
444	772	963
445	773	961
446	775	959
