iter	Passed	Remaining
0	155	155301
1	158	78969
2	159	53133
3	168	41929
4	171	34155
5	173	28711
6	175	24832
7	177	22009
8	179	19808
9	181	17991
10	183	16490
11	185	15249
12	186	14184
13	188	13292
14	191	12591
15	194	11968
16	196	11361
17	198	10814
18	199	10319
19	201	9869
20	202	9454
21	205	9124
22	207	8829
23	209	8524
24	211	8232
25	212	7961
26	213	7711
27	215	7478
28	219	7342
29	221	7158
30	223	6995
31	225	6825
32	227	6657
33	228	6499
34	231	6382
35	234	6269
36	236	6143
37	238	6028
38	239	5905
39	241	5790
40	244	5714
41	248	5674
42	250	5573
43	251	5473
44	253	5375
45	254	5285
46	257	5225
47	259	5155
48	261	5076
49	263	5000
50	264	4928
51	266	4854
52	267	4785
53	272	4767
54	275	4732
55	277	4672
56	278	4610
57	280	4552
58	282	4501
59	284	4458
60	287	4419
61	289	4377
62	291	4329
63	292	4282
64	294	4231
65	296	4195
66	301	4199
67	304	4167
68	306	4129
69	308	4092
70	309	4050
71	311	4012
72	314	3999
73	317	3970
74	319	3936
75	321	3903
76	322	3871
77	324	3838
78	327	3821
79	329	3794
80	331	3760
81	332	3727
82	333	3689
83	335	3657
84	336	3627
85	338	3595
86	341	3584
87	343	3559
88	345	3534
89	346	3506
90	348	3480
91	349	3451
92	351	3425
93	353	3404
94	356	3393
95	358	3373
96	359	3348
97	361	3325
98	362	3300
99	364	3276
100	366	3260
101	369	3253
102	372	3245
103	374	3225
104	376	3205
105	377	3183
106	378	3162
107	380	3140
108	382	3124
109	385	3118
110	387	3101
111	388	3082
112	390	3063
113	391	3043
114	392	3023
115	394	3004
116	396	2993
117	398	2981
118	400	2966
119	402	2949
120	403	2932
121	404	2913
122	406	2898
123	408	2884
124	412	2887
125	414	2875
126	416	2861
127	418	2848
128	419	2835
129	421	2820
130	423	2806
131	426	2803
132	428	2790
133	430	2779
134	431	2766
135	432	2750
136	434	2735
137	435	2723
138	438	2715
139	440	2705
140	442	2695
141	443	2681
142	445	2669
143	446	2656
144	448	2643
145	449	2630
146	452	2625
147	455	2621
148	457	2610
149	458	2599
150	460	2587
151	461	2575
152	463	2563
153	464	2551
154	468	2553
155	470	2544
156	471	2534
